pair_id	label	prediction	votes
R01-1-A	N	N	['N', 'N', 'N', 'N', 'N']
R01-1-I	Y	N	['N', 'N', 'N', 'Y', 'N']
R01-1-U	Y	N	['N', 'N', 'N', 'N', 'N']
R01-1-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-1-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-2-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-2-I	Y	N	['N', 'N', 'N', 'N', 'N']
R01-2-U	Y	N	['N', 'N', 'N', 'N', 'N']
R01-2-E	N	N	['N', 'N', 'N', 'N', 'N']
R01-2-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-3-A	N	Y	['Y', 'Y', 'Y', 'N', 'Y']
R01-3-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-3-E	Y	N	['N', 'N', 'N', 'N', 'N']
R01-3-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-4-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-4-U	N	N	['N', 'N', 'N', 'N', 'N']
R01-4-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-4-O	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-5-E	N	N	['N', 'N', 'N', 'N', 'N']
R01-5-O	Y	I	['I', 'Sorry', 'I', 'I', 'N']
R01-6-A	Y	I	['I', 'N', 'I', 'N', 'I']
R01-6-I	N	I	['I', 'I', 'N', 'N', 'I']
R01-7-I	N	Y	['Y', 'N', 'Y', 'N', 'Y']
R01-7-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-7-E	Y	N	['N', 'Y', 'N', 'N', 'N']
R01-7-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-8-A	Y	N	['N', 'I', 'N', 'N', 'I']
R01-8-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-9-A	N	N	['N', 'I', 'N', 'N', 'N']
R01-9-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-9-U	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-9-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-9-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-10-A	N	N	['Y', 'Y', 'N', 'N', 'N']
R01-10-O	Y	N	['Y', 'Y', 'N', 'N', 'N']
R01-11-A	N	N	['N', 'N', 'N', 'N', 'N']
R01-11-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-11-E	Y	Y	['Y', 'Y', 'Y', 'N', 'N']
R01-12-A	Y	N	['N', 'N', 'N', 'N', 'N']
R01-12-I	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
