pair_id	label	prediction	votes
R01-1-A	N	N	['N', 'N', 'N', 'N', 'N']
R01-1-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-1-U	Y	N	['N', 'N', 'N', 'N', 'Y']
R01-1-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-1-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-2-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-2-I	Y	N	['N', 'N', 'N', 'Y', 'N']
R01-2-U	Y	N	['N', 'N', 'N', 'N', 'N']
R01-2-E	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-2-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-3-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-3-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-3-E	Y	N	['N', 'N', 'N', 'N', 'N']
R01-3-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-4-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-4-U	N	N	['N', 'N', 'N', 'N', 'N']
R01-4-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-4-O	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-5-E	N	Y	['Y', 'N', 'N', 'Y', 'Y']
R01-5-O	Y	N	['N', 'N', 'N', 'N', 'N']
R01-6-A	Y	N	['N', 'N', 'N', 'N', 'N']
R01-6-I	N	N	['N', 'N', 'N', 'N', 'N']
R01-7-I	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-7-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-7-E	Y	N	['N', 'Y', 'N', 'N', 'N']
R01-7-O	Y	Y	['N', 'Y', 'Y', 'Y', 'Y']
R01-8-A	Y	N	['N', 'N', 'N', 'N', 'N']
R01-8-O	Y	N	['Y', 'N', 'Y', 'N', 'N']
R01-9-A	N	N	['Y', 'N', 'N', 'N', 'N']
R01-9-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-9-U	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-9-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-9-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-10-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-10-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-11-A	N	N	['N', 'N', 'N', 'N', 'N']
R01-11-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-11-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-12-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-12-I	N	N	['N', 'N', 'N', 'N', 'N']
R01-12-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-12-O	N	N	['N', 'N', 'N', 'N', 'N']
R1-13-A	N	Y	['Y', 'N', 'Y', 'N', 'Y']
R1-13-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-13-U	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-13-E	N	Y	['N', 'Y', 'Y', 'N', 'Y']
R1-13-O	Y	Y	['N', 'Y', 'Y', 'Y', 'N']
R1-14-A	Y	N	['N', 'N', 'N', 'N', 'N']
R1-14-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-14-U	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-14-E	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-14-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-15-A	N	Y	['Y', 'Y', 'Y', 'Y', 'N']
R1-15-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-15-U	N	N	['N', 'N', 'N', 'N', 'N']
R1-15-E	N	N	['N', 'Y', 'N', 'N', 'Y']
R1-15-O	Y	N	['Y', 'N', 'N', 'N', 'Y']
R1-16-U	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-17-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-17-I	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-17-U	N	N	['N', 'N', 'N', 'N', 'N']
R1-17-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-18-U	Y	N	['N', 'N', 'N', 'N', 'N']
R1-18-E	N	N	['N', 'N', 'N', 'N', 'N']
R1-19-A	N	N	['N', 'N', 'N', 'N', 'N']
R1-19-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-19-U	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-19-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-19-O	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-20-A	N	N	['N', 'N', 'N', 'N', 'N']
R1-20-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-21-A	N	N	['N', 'N', 'N', 'N', 'N']
R1-21-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-21-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-21-E	N	N	['N', 'N', 'N', 'N', 'N']
R1-21-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-22-A	N	Y	['N', 'Y', 'N', 'Y', 'Y']
R1-22-I	Y	N	['N', 'N', 'N', 'N', 'N']
R1-22-E	Y	N	['N', 'N', 'N', 'N', 'N']
R1-23-2	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-23-3	N	N	['N', 'N', 'N', 'N', 'N']
R1-23-4	N	N	['N', 'N', 'N', 'N', 'N']
R1-23-5	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-24-A	Y	N	['N', 'N', 'N', 'N', 'N']
R1-24-I	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-24-U	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-24-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R1-24-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-25-A	N	N	['N', 'N', 'N', 'N', 'N']
R01-25-I	Y	N	['N', 'N', 'N', 'N', 'N']
R01-25-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-25-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-25-O	N	N	['N', 'N', 'N', 'N', 'N']
R01-26-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-26-I	Y	N	['N', 'U', 'N', 'Y', 'N']
R01-26-U	N	Y	['Y', 'N', 'N', 'Y', 'Y']
R01-26-E	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-26-O	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-28-A	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-28-I	N	Y	['Y', 'N', 'Y', 'Y', 'Y']
R01-28-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-28-E	N	N	['N', 'N', 'N', 'N', 'N']
R01-28-O	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-31-A	Y	N	['N', 'N', 'N', 'N', 'N']
R01-36-A	N	N	['N', 'N', 'N', 'N', 'N']
R01-36-I	N	N	['N', 'N', 'N', 'N', 'N']
R01-36-U	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-36-E	Y	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-37-A	N	Y	['Y', 'Y', 'Y', 'Y', 'Y']
R01-37-I	Y	N	['N', 'N', 'N', 'N', 'N']
R01-37-U	N	N	['N', 'N', 'N', 'N', 'N']
